Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3716, -30.8815166666667)"
TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.5,0.5,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3379, -30.86855)"
TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.48,0.48,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3507333333333, -30.8777833333333)"
TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.36005, -30.8923166666667)"
TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.44,0.44,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3087338174377, -30.8526674133232)"
TSTAUTS002,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.46,0.46,765,13.7,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3174693183962, -30.8679742386352)"
TSTAUTS003,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.49,0.49,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3074720974843, -30.8537541283206)"
TSTABTL001,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,770,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.42906667, -30.87473333)"
TSTABTL002,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.45,0.45,780,15.5,38.140625,16.54329490661621,13.342466354370117,"c(28.4407, -30.92866667)"
TSTABTL003,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.44,0.44,767,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.4082885268276, -30.87331411619)"
TSTABTL004,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.43,0.43,774,15.4,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4026, -30.9175166666667)"
TSTABTL005,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.48,0.48,783,15.3,38.140625,16.54329490661621,13.342466354370117,"c(28.44591667, -30.91723333)"
TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4123333333333, -30.92465)"
TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.44176667, -30.8791)"
TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.38127744189, -30.8773178951881)"
TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.37,0.37,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.39105, -30.91688333)"
TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.46035, -30.90818333)"
TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.43,0.43,775,15.4,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.43321667, -30.88885)"
TSTABTL014,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,774,15.5,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.43071667, -30.90175)"
TSTABTL015,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.48,0.48,774,15.4,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3989, -30.9193166666667)"
TSTABTL016,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.44,0.44,775,15.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.40065, -30.91261667)"
TSTALSX001,TSTALSX,Lower Sinxaku,Tsitsa,1094.6336102649857,0.5675823774384452,621.2947469382291,0.016071428877434568,0,0.51,0.51,735,17,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6394024623215, -31.1066385923048)"
TSTAUSX001,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0.10000000149011612,0.51,0.51,731,17,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6106885748243, -31.1058746083804)"
TSTAUSX002,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0,0.51,0.51,752,16.6,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6079616626037, -31.1372235221258)"
TSTAUSX003,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0,0.54,0.54,757,16.5,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6100020890679, -31.1257683534175)"
TSTAUSX004,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0,0.46,0.46,745,16.7,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6030784837299, -31.1199782525292)"
TSTAUSX005,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0,0.46,0.46,733,17,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6086187882667, -31.0921365569576)"
TSTAUSX006,TSTAUSX,Upper Sinxaku,Tsitsa,2333.39558192116,0.7387697739386773,1723.8421265654038,0.018042813770085635,0.10000000149011612,0.52,0.52,747,16.7,30.253639221191406,18.10358238220215,17.367231369018555,"c(28.6112203270987, -31.1105195683259)"
TSTAKMG001,TSTAKMG,KuMagwaca,Tsitsa,2106.989365462461,0.6920186724353865,1458.0759835228098,0.13909774721789178,0,0.38,0.38,802,14.4,41.338592529296875,19.336162567138672,18.392536163330078,"c(28.5336333333333, -30.91645)"
TSTAKMG002,TSTAKMG,KuMagwaca,Tsitsa,2106.989365462461,0.6920186724353865,1458.0759835228098,0.13909774721789178,0.10000000149011612,0.4,0.4,794,14.7,41.338592529296875,19.336162567138672,18.392536163330078,"c(28.5264166666667, -30.8947166666667)"
TSTAKMG004,TSTAKMG,KuMagwaca,Tsitsa,2106.989365462461,0.6920186724353865,1458.0759835228098,0.13909774721789178,0,0.38,0.38,802,14.4,41.338592529296875,19.336162567138672,18.392536163330078,"c(28.5336333333333, -30.9164666666667)"
TSTANQY001,TSTANQY,Ngqayi,Tsitsa,1748.495012938775,0.6358006352978816,1111.6942400416508,0.17607655846758902,0.30000001192092896,0.39,0.39,815,14.6,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.57735, -30.9698166666667)"
TSTANQY003,TSTANQY,Ngqayi,Tsitsa,1748.495012938775,0.6358006352978816,1111.6942400416508,0.17607655846758902,0,0.38,0.38,807,15,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.5657666666667, -30.9599666666667)"
TSTABSW001,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0,0.49,0.49,782,15.9,33.818363189697266,16.082670211791992,12.416078567504883,"c(28.4968, -31.0160666666667)"
TSTABSW002,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0,0.48,0.48,787,15.7,38.440834045410156,15.77312183380127,13.415796279907227,"c(28.50525, -31.0278166666667)"
TSTABSW003,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0.10000000149011612,0.45,0.45,776,15.9,38.140625,16.54329490661621,13.342466354370117,"c(28.4990833333333, -30.9931333333333)"
TSTABSW004,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0.5,0.44,0.44,803,15.2,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.5553166666667, -30.9726)"
TSTABSW005,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0.4000000059604645,0.39,0.39,815,14.7,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.57535, -30.9831166666667)"
TSTABSW006,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0,0.52,0.52,791,15.7,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.5216666666667, -30.98145)"
TSTABSW007,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0.10000000149011612,0.39,0.39,803,15.2,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.5527117052931, -30.9693420810409)"
TSTABSW008,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0.5,0.42,0.42,814,14.7,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.5730652411217, -30.9815738246779)"
TSTABSW009,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0,0.46,0.46,794,15.5,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.5101020398915, -30.973353213354)"
TSTABSW010,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0,0.44,0.44,799,15.3,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.5169145657561, -30.9602393700713)"
TSTABSW011,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0,0.5,0.5,787,15.7,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.5016023309437, -30.9649310715744)"
TSTABSW012,TSTABSW,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0.10000000149011612,0.4,0.4,810,14.8,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.5619494457355, -30.966814300955)"
TSTABTL008,TSTABTL,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0,0.46,0.46,787,15.6,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.50313333, -30.95286667)"
TSTANQY002,TSTANQY,Basuto West,Tsitsa,5769.736764308039,0.7413794298467531,4277.564152688544,0.14114713462585254,0,0.42,0.42,807,15,37.72651290893555,17.852375030517578,14.131917953491211,"c(28.5615, -30.9656)"
TSTABSE001,TSTABSE,Basuto East,Tsitsa,2246.8723889457656,0.6807881948770893,1529.644197789561,0.024652778171002865,0.20000000298023224,0.48,0.48,782,15.7,38.140625,16.54329490661621,13.342466354370117,"c(28.4580333333333, -30.9457666666667)"
TSTABSE002,TSTABSE,Basuto East,Tsitsa,2246.8723889457656,0.6807881948770893,1529.644197789561,0.024652778171002865,0,0.48,0.48,791,15.3,38.140625,16.54329490661621,13.342466354370117,"c(28.4921666666667, -30.9226166666667)"
TSTABSE003,TSTABSE,Basuto East,Tsitsa,2246.8723889457656,0.6807881948770893,1529.644197789561,0.024652778171002865,0,0.46,0.46,788,15.3,38.140625,16.54329490661621,13.342466354370117,"c(28.4661, -30.9380166666667)"
TSTABSE004,TSTABSE,Basuto East,Tsitsa,2246.8723889457656,0.6807881948770893,1529.644197789561,0.024652778171002865,0,0.47,0.47,787,15.2,38.140625,16.54329490661621,13.342466354370117,"c(28.4724, -30.9238666666667)"
FZTZMBD001,FZTZMBD,Mbundu village,uMfolozi-uMhlatuze,2094.571152775043,0.9288451956613392,1945.5323522259316,0.15539773081598646,0,0.43,0.43,892,14.7,38.312286376953125,7.445744514465332,7.134602069854736,"c(30.990878, -28.384286)"
FZTZMBD002,FZTZMBD,Mbundu village,uMfolozi-uMhlatuze,2094.571152775043,0.9288451956613392,1945.5323522259316,0.15539773081598646,0.30000001192092896,0.44,0.44,873,15.1,38.312286376953125,7.445744514465332,7.134602069854736,"c(30.997814, -28.378025)"
FZTZMBD003,FZTZMBD,Mbundu village,uMfolozi-uMhlatuze,2094.571152775043,0.9288451956613392,1945.5323522259316,0.15539773081598646,0.30000001192092896,0.45,0.45,844,15.6,38.312286376953125,7.445744514465332,7.134602069854736,"c(30.98865, -28.374306)"
FZTZMBD004,FZTZMBD,Mbundu village,uMfolozi-uMhlatuze,2094.571152775043,0.9288451956613392,1945.5323522259316,0.15539773081598646,0.30000001192092896,0.45,0.45,844,15.6,38.312286376953125,7.445744514465332,7.134602069854736,"c(30.98865, -28.374306)"
FZTZNSB001,FZTZNSB,Nsubeni village,uMfolozi-uMhlatuze,3024.7076491854727,0.8577417514626478,2594.418036674815,0.3023255852860325,0.4000000059604645,0.41,0.41,868,15.5,34.70042037963867,7.287953853607178,5.268077373504639,"c(31.04335, -28.355717)"
FZTZNSB003,FZTZNSB,Nsubeni village,uMfolozi-uMhlatuze,3024.7076491854727,0.8577417514626478,2594.418036674815,0.3023255852860325,0.20000000298023224,0.49,0.49,832,16.3,34.70042037963867,7.287953853607178,5.268077373504639,"c(31.016997, -28.350894)"
FZTZNSB004,FZTZNSB,Nsubeni village,uMfolozi-uMhlatuze,3024.7076491854727,0.8577417514626478,2594.418036674815,0.3023255852860325,0.4000000059604645,0.43,0.43,868,15.5,34.70042037963867,7.287953853607178,5.268077373504639,"c(31.043803, -28.354028)"
FZTZZLR001,FZTZZLR,Zulu Rock,uMfolozi-uMhlatuze,4087.980823527822,0.9519486510094121,3891.5478303096556,0.14237762567671974,0.5,0.59,0.59,803,18.5,33.77829360961914,8.112689971923828,14.684203147888184,"c(31.041867, -28.17805)"
FZTZZLR002,FZTZZLR,Zulu Rock,uMfolozi-uMhlatuze,4087.980823527822,0.9519486510094121,3891.5478303096556,0.14237762567671974,0.10000000149011612,0.58,0.58,816,18.3,33.77829360961914,8.112689971923828,14.684203147888184,"c(31.074133, -28.17695)"
FZTZZLR003,FZTZZLR,Zulu Rock,uMfolozi-uMhlatuze,4087.980823527822,0.9519486510094121,3891.5478303096556,0.14237762567671974,0,0.6,0.6,830,17.9,34.18866729736328,7.511464595794678,14.058466911315918,"c(31.042283, -28.125367)"
FZTZZLR004,FZTZZLR,Zulu Rock,uMfolozi-uMhlatuze,4087.980823527822,0.9519486510094121,3891.5478303096556,0.14237762567671974,0.10000000149011612,0.57,0.57,833,18,31.319339752197266,6.709075450897217,6.484952926635742,"c(31.093417, -28.173517)"
FZTZZLR005,FZTZZLR,Zulu Rock,uMfolozi-uMhlatuze,4087.980823527822,0.9519486510094121,3891.5478303096556,0.14237762567671974,0.4000000059604645,0.58,0.58,803,18.5,33.77829360961914,8.112689971923828,14.684203147888184,"c(31.04335, -28.176883)"
FZTZZLR006,FZTZZLR,Zulu Rock,uMfolozi-uMhlatuze,4087.980823527822,0.9519486510094121,3891.5478303096556,0.14237762567671974,0.30000001192092896,0.55,0.55,805,18.5,33.77829360961914,8.112689971923828,14.684203147888184,"c(31.038817, -28.1826)"
FZTZZLR007,FZTZZLR,Zulu Rock,uMfolozi-uMhlatuze,4087.980823527822,0.9519486510094121,3891.5478303096556,0.14237762567671974,0.30000001192092896,0.59,0.59,788,18.9,33.77829360961914,8.112689971923828,14.684203147888184,"c(31.036483, -28.189033)"
FZTZZLR008,FZTZZLR,Zulu Rock,uMfolozi-uMhlatuze,4087.980823527822,0.9519486510094121,3891.5478303096556,0.14237762567671974,0.4000000059604645,0.59,0.59,803,18.5,33.77829360961914,8.112689971923828,14.684203147888184,"c(31.046017, -28.175017)"
FZTZREF010,FZTZREF,Babanango village,uMfolozi-uMhlatuze,1422.0120175856634,0.9435213135103112,1341.698646659873,0.44186992446581524,0.30000001192092896,0.41,0.41,852,16.6,37.63459777832031,7.851795673370361,5.210672378540039,"c(31.0996, -28.3549)"
FZTZJMA001,FZTZJMA,Jama Village,uMfolozi-uMhlatuze,1205.784891466558,0.9699148029818956,1169.508615445333,0.12916666862589357,0.10000000149011612,0.6,0.6,801,17.5,35.28910827636719,7.220376491546631,12.68637752532959,"c(30.890627, -28.241507)"
FZTZJMA002,FZTZJMA,Jama Village,uMfolozi-uMhlatuze,1205.784891466558,0.9699148029818956,1169.508615445333,0.12916666862589357,0.10000000149011612,0.61,0.61,798,17.6,35.28910827636719,7.220376491546631,12.68637752532959,"c(30.890692, -28.241708)"
KMZIGMN001,KMZIGMN,Nhlabamkhosi,uMkhomazi,1038.5952806044727,0.7618092777542128,791.2115205962273,0.21258278620361493,0.20000000298023224,0.37,0.37,963,13.8,38.60322189331055,7.268492698669434,9.0467529296875,"c(29.8746739610468, -29.5922112945485)"
KMZIHBK001,KMZIHBK,Nhlabamkhosi,uMkhomazi,1038.5952806044727,0.7618092777542128,791.2115205962273,0.21258278620361493,0,0.39,0.39,976,13.4,38.60322189331055,7.268492698669434,9.0467529296875,"c(29.88836667, -29.5947)"
KMZIAGM001,KMZIAGM,Amangwane,uMkhomazi,2460.8282200236918,0.7042611001740885,1733.0655895733291,0.1421052658290317,0.4000000059604645,0.39,0.39,883,16.7,33.92654037475586,6.891329288482666,6.517062187194824,"c(29.8024260193816, -29.7272505036251)"
KMZIAGM002,KMZIAGM,Amangwane,uMkhomazi,2460.8282200236918,0.7042611001740885,1733.0655895733291,0.1421052658290317,0,0.42,0.42,854,17,33.92654037475586,6.891329288482666,6.517062187194824,"c(29.7913333140819, -29.7168500216095)"
KMZIGMN002,KMZIGMN,Gomane,uMkhomazi,3627.2984129523816,0.7093885932566407,2573.1641184863356,0.22436975330865694,0.10000000149011612,0.41,0.41,974,13.6,38.60322189331055,7.268492698669434,9.0467529296875,"c(29.8722136785906, -29.6204142947423)"
KMZISYB003,KMZISYB,Ntshiyabantu,uMkhomazi,1628.4288101065815,0.5209608812175752,848.3477079132122,0.12641509767598313,0,0.36,0.36,930,15,38.6478157043457,8.632303237915039,12.517271995544434,"c(29.8032166666667, -29.61145)"
KMZISYB004,KMZISYB,Ntshiyabantu,uMkhomazi,1628.4288101065815,0.5209608812175752,848.3477079132122,0.12641509767598313,0,0.4,0.4,930,15,38.6478157043457,8.632303237915039,12.517271995544434,"c(29.8031088180798, -29.6118017813234)"
KMZIQTN001,KMZIQTN,Qutshini,uMkhomazi,2191.760782536103,0.778299559632357,1705.846451867319,0.2500000045719474,0,0.39,0.39,944,14.5,31.648632049560547,6.141568660736084,12.43166446685791,"c(29.7742166666667, -29.5671333333334)"
KMZINZG001,KMZINZG,Inzinga,uMkhomazi,5036.4497649000805,0.7911727997583331,3984.702061338195,0.3414402171443034,0,0.4,0.4,897,16.1,38.6478157043457,8.632303237915039,12.517271995544434,"c(29.7778666666667, -29.6236666666667)"
KMZINZG002,KMZINZG,Inzinga,uMkhomazi,5036.4497649000805,0.7911727997583331,3984.702061338195,0.3414402171443034,0,0.42,0.42,912,15.7,38.6478157043457,8.632303237915039,12.517271995544434,"c(29.7707833333333, -29.61565)"
KMZINZG004,KMZINZG,Inzinga,uMkhomazi,5036.4497649000805,0.7911727997583331,3984.702061338195,0.3414402171443034,0.10000000149011612,0.41,0.41,885,16.4,38.6478157043457,8.632303237915039,12.517271995544434,"c(29.7601333333333, -29.6265833333333)"
KMZINZG005,KMZINZG,Inzinga,uMkhomazi,5036.4497649000805,0.7911727997583331,3984.702061338195,0.3414402171443034,0,0.51,0.51,883,16.4,35.58012390136719,7.066222667694092,10.182135581970215,"c(29.7448833333333, -29.6213833333333)"
KMZINZG006,KMZINZG,Inzinga,uMkhomazi,5036.4497649000805,0.7911727997583331,3984.702061338195,0.3414402171443034,0,0.4,0.4,908,16,38.6478157043457,8.632303237915039,12.517271995544434,"c(29.7824166666666, -29.63535)"
KMZISYB002,KMZISYB,Inguga,uMkhomazi,2045.3003435781152,0.7482480523039581,1530.3919984589409,0.2632142917386122,0,0.4,0.4,926,15.1,38.6478157043457,8.632303237915039,12.517271995544434,"c(29.7958833333333, -29.5902333333333)"
KMZISYB006,KMZISYB,Inguga,uMkhomazi,2045.3003435781152,0.7482480523039581,1530.3919984589409,0.2632142917386122,0.6000000238418579,0.44,0.44,1060,12.1,38.6478157043457,8.632303237915039,12.517271995544434,"c(29.8272930587118, -29.5953716303029)"
FZTZCBN001,FZTZCBN,Esigcalabeni,uMfolozi-uMhlatuze,3318.759101923527,0.5665529835764217,1880.25287096618,0.08376811777336014,0.10000000149011612,0.45,0.45,854,17.4,39.246917724609375,8.047755241394043,5.473348140716553,"c(31.152508, -28.56825)"
FZTZCBN002,FZTZCBN,Esigcalabeni,uMfolozi-uMhlatuze,3318.759101923527,0.5665529835764217,1880.25287096618,0.08376811777336014,0.10000000149011612,0.45,0.45,854,17.4,39.246917724609375,8.047755241394043,5.473348140716553,"c(31.152508, -28.568251)"
FZTZREF021,FZTZREF,Sappi Esigcalabeni Reference,uMfolozi-uMhlatuze,3069.402617923212,0.1934783745619999,593.8630293921302,0.1170000027120114,0,0.44,0.44,861,17.1,39.246917724609375,8.047755241394043,5.473348140716553,"c(31.1626, -28.5127)"
FZTZREF022,FZTZREF,Sappi Esigcalabeni Reference,uMfolozi-uMhlatuze,3069.402617923212,0.1934783745619999,593.8630293921302,0.1170000027120114,0.10000000149011612,0.47,0.47,848,17.6,39.246917724609375,8.047755241394043,5.473348140716553,"c(31.1576, -28.5021)"
FZTZREF023,FZTZREF,Mondi KCT Reference,uMfolozi-uMhlatuze,2640.555664722013,0.47212765957446806,1246.6793659613077,0.25899582156701084,0.4000000059604645,0.42,0.42,845,16.7,33.99946594238281,6.69315767288208,4.625534534454346,"c(31.0854, -28.459)"
FZTZREF011,FZTZREF,Babanango Reference,uMfolozi-uMhlatuze,5363.859667600221,0.8851048548192816,4747.578232362293,0.27337209855227995,0.20000000298023224,0.47,0.47,822,18.2,37.63459777832031,7.851795673370361,5.210672378540039,"c(31.1313, -28.3473)"
FZTZREF012,FZTZREF,Babanango Reference,uMfolozi-uMhlatuze,5363.859667600221,0.8851048548192816,4747.578232362293,0.27337209855227995,0.5,0.45,0.45,829,18.4,36.11852264404297,7.159887313842773,7.83954381942749,"c(31.1848, -28.3427)"
FZTZREF006,FZTZREF,Jama Reference,uMfolozi-uMhlatuze,1026.03008966977,0.6618727528528998,679.1013599596383,0.007692307806932011,0,0.61,0.61,797,17.7,41.50698471069336,7.976037502288818,10.23332691192627,"c(30.9179, -28.2715)"
FZTZREF008,FZTZREF,Mbundu Reference,uMfolozi-uMhlatuze,4139.428147521424,0.7379808158124213,3054.81856130476,0.027747748161221324,0,0.48,0.48,822,15.8,38.312286376953125,7.445744514465332,7.134602069854736,"c(30.9304, -28.3877)"
FZTZREF013,FZTZREF,Kwezibomvu Reference,uMfolozi-uMhlatuze,478.2778343720794,0.9785966090313917,468.04106689139445,0.1837209351360798,0.10000000149011612,0.48,0.48,822,18.8,37.3873176574707,7.203848361968994,5.584211826324463,"c(31.2061, -28.2743)"
